gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
NEDD4L	24	24	24	24
NEK7	24	24	24	24
NFKBIZ	24	24	24	24
NID2	24	24	24	24
NIPAL4	24	24	24	24
PPIG	24	24	24	24
NLGN4X	24	24	24	24
THOP1	24	24	24	24
NOTCH2	24	24	24	24
NOVA2	24	24	24	24
NPR2	24	24	24	24
NR2C2	24	24	24	24
NRBP2	24	24	24	24
NT5DC4	24	24	24	24
NUCB2	24	24	24	24
NUMBL	24	24	24	24
OGDHL	24	24	24	24
OSBP2	24	24	24	24
OSBPL8	24	24	24	24
OSR2	24	24	24	24
OTUB2	24	24	24	24
OTX2	24	24	24	24
P4HA2	24	24	24	24
PACS2	24	24	24	24
PAFAH1B3	24	24	24	24
