gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
TRIM2	0.784544112057071	0.604135434771344	0.412375778055245	0.745507296431823	-0.243304206672494	0.213322782540945	-0.180408677285728	-0.988811503104317	0.77742700412767	0.53117308408621	FALSE	FALSE	None	None
HAUS1	-4.35670441959383	-4.53774823778617	0.83530726185541	-4.37074045039903	-4.59314192562518	0.533191090873463	-0.181043818192338	-0.222401475226147	0.971208518757278	0.820350879618762	FALSE	FALSE	None	None
ASPH	0.337940471889285	-0.319178544367268	0.0742044999172241	0.292100927683015	-0.150888374113826	0.594883930583728	-0.657119016256553	-0.442989301796841	0.366996510760824	0.850696829678176	FALSE	FALSE	None	None
GFM2	-4.17177066116232	-1.56835310383353	5.69356399060645e-05	-4.93246943332493	-3.44254917205711	0.00418883329028174	2.60341755732879	1.48992026126783	0.00295788197814145	0.0546377216370393	TRUE	FALSE	Suppressor	None
SMC5	-5.12313970876488	-5.24938283408982	0.738758333520315	-5.42527174302202	-5.58232692720439	0.835198278137843	-0.126243125324944	-0.15705518418237	0.94183353362379	0.954787693519775	FALSE	FALSE	None	None
SUCLA2	-0.43634702587039	-0.297166022765676	0.436289427525659	-0.544564168854361	-0.530292610251259	0.324548174828994	0.139181003104714	0.0142715586031019	0.798232801482404	0.648120474561853	FALSE	FALSE	None	None
MRPS10	-3.26441102307777	-2.75428616641624	0.602303547175349	-4.05675490062996	-3.74846642648097	0.559165667757637	0.510124856661528	0.308288474148991	0.89553448697026	0.835991856564828	FALSE	FALSE	None	None
UBA6	0.275005556206715	-0.177495325922554	0.0453338990979227	0.132134025216463	-0.498165393101343	0.00656805240310701	-0.452500882129269	-0.630299418317807	0.279518961414115	0.0727020848143917	FALSE	FALSE	None	None
ALDH9A1	-0.344065396251734	-0.590641899957967	0.870194456435353	-0.540358024986619	-1.97431901455947	0.105545178568223	-0.246576503706232	-1.43396098957285	0.980973333648874	0.368203890899715	FALSE	FALSE	None	None
NUP37	0.110113552670336	-0.358898284470199	0.0502223733334571	0.069208576611049	-0.55687682829369	0.0329436416982427	-0.469011837140535	-0.626085404904739	0.295175491311305	0.190491281411854	FALSE	FALSE	None	None
PTK7	0.203142746109939	0.144665683083194	0.934887200362667	0.160287316197865	-0.091860643552273	0.486364763954452	-0.058477063026745	-0.252147959750138	0.992983914664391	0.784018650355148	FALSE	FALSE	None	None
MBD1	0.672241537696611	0.455180864684963	0.69322618262151	0.302326444111683	-0.088998180749057	0.371925922405296	-0.217060673011648	-0.39132462486074	0.930763525248449	0.695964464044123	FALSE	FALSE	None	None
C5orf15	0.504197286829272	0.0951001890143198	0.324548174828994	0.427570545849832	-0.288889932883717	0.0975257598239064	-0.409097097814952	-0.716460478733548	0.702432246173182	0.350655264827023	FALSE	FALSE	None	None
CDC5L	-3.6336406680446	-4.02038631040477	0.243588274479008	-4.36906887084266	-4.38443605750657	0.818390504362966	-0.386745642360164	-0.0153671866639042	0.640279662519825	0.95464196312018	FALSE	FALSE	None	None
NAA10	-4.2711936473944	-4.82853180277525	0.464925929884649	-5.1019942753229	-4.45059749965415	0.477330744982838	-0.557338155380858	0.651396775668753	0.818026951895715	0.784018650355148	FALSE	FALSE	None	None
POLR3D	-3.56352301684087	-3.26317760265064	0.884189701324185	-3.60172728123554	-4.03883837965698	0.755075314405255	0.300345414190225	-0.437111098421443	0.989515829416984	0.924794043765797	FALSE	FALSE	None	None
RAD51C	-4.42648625459783	-4.48223485614753	0.440939041041573	-4.66215548258584	-5.1708672139297	0.269660571155544	-0.0557486015496984	-0.508711731343867	0.802611554453787	0.593449046240959	FALSE	FALSE	None	None
RPF2	-4.49883570628123	-4.64623561381295	0.769852468339715	-4.9614926451315	-4.42786803970094	0.326169050751582	-0.147399907531721	0.533624605430566	0.954486635593668	0.651077680096223	FALSE	FALSE	None	None
RRP9	-4.14830604582066	-4.42665892851908	0.516384144936029	-4.51921687957991	-4.36617910280881	0.737762846536945	-0.27835288269842	0.153037776771107	0.850698047415875	0.918562938876975	FALSE	FALSE	None	None
SOGA1	-0.048858468643541	-0.373146624084971	0.106445693561888	-0.606665629686048	-0.804157151157906	0.285440870895821	-0.32428815544143	-0.197491521471858	0.436774959725698	0.608722297612236	FALSE	FALSE	None	None
SNRNP25	-5.11005838131331	-5.78766443786804	0.262327985863791	-5.3935321585007	-6.32890720183652	0.050722427100395	-0.677606056554723	-0.935375043335821	0.657002151167769	0.245378317991401	FALSE	FALSE	None	None
ORC1	-2.37894590627152	-2.17816647054549	0.950201493060549	-2.54433569951565	-2.68038270128131	0.587064362417857	0.200779435726033	-0.136047001765655	0.998118734194016	0.850696829678176	FALSE	FALSE	None	None
SORD	0.367984452149523	-0.25620174602295	0.158001313010861	0.0492812507078383	-1.25414941636604	0.0078019680142766	-0.624186198172473	-1.30343066707388	0.526445920948193	0.0809628332552944	FALSE	FALSE	None	None
PRMT7	1.27388633545082	0.737599262964773	0.460958749211566	1.13164391267948	0.0503615351104279	0.119638351534378	-0.536287072486052	-1.08128237756905	0.812048967443944	0.3903045591338	FALSE	FALSE	None	None
TMEM98	-0.424823965307711	-0.6427303383119	1	-0.458784989546224	-1.03419103278551	0.394368021761908	-0.217906373004188	-0.575406043239289	1	0.716119130416261	FALSE	FALSE	None	None
ATMIN	0.593133304113976	0.284034544064048	0.0164317222193857	0.420069593334163	-0.276174909306164	0.00140811946967693	-0.309098760049928	-0.696244502640327	0.150080700585312	0.0279758436518292	FALSE	FALSE	None	None
TAB2	0.58355580265915	0.576402366736877	0.870194456435353	0.644389519266922	0.44927954889681	0.512486352283095	-0.00715343592227213	-0.195109970370111	0.980973333648874	0.801665226030992	FALSE	FALSE	None	None
POFUT1	-0.267005374159022	-1.01084509639401	0.201679436339622	-0.772692887528286	-1.45315408912265	0.19131309171297	-0.743839722234985	-0.680461201594364	0.581642493512966	0.501643859770782	FALSE	FALSE	None	None
TMEM183A	0.243404135432502	0.103718327936057	0.743702065375981	-0.0165876973480899	-0.686297624781499	0.173608899884423	-0.139685807496445	-0.669709927433409	0.94183353362379	0.477296141669239	FALSE	FALSE	None	None
